Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTHG,BHT,PFTAG,BAT,PFTR
2012-08-18,Arsenal,Sunderland,0.0,0.0,D,2012,2.0,3.0,4.0,14.0,0,14,1,1.5045958855324015,0,0.7764800913247789,H
2012-08-18,Fulham,Norwich,5.0,0.0,H,2012,2.0,4.0,9.0,11.0,4,9,2,2.166646044168272,1,1.100086888994964,H
2012-08-18,Newcastle,Tottenham,2.0,1.0,H,2012,6.0,12.0,4.0,6.0,8,16,1,1.5070981659805263,1,1.6951719722271588,D
2012-08-18,QPR,Swansea,0.0,5.0,A,2012,8.0,12.0,11.0,20.0,10,15,0,0.8498746777253178,0,0.9677259333019699,D
2012-08-18,Reading,Stoke,1.0,1.0,D,2012,3.0,6.0,3.0,9.0,11,13,1,1.1427101114645828,1,1.173162703162391,D
2012-08-18,West Brom,Liverpool,3.0,0.0,H,2012,7.0,14.0,10.0,15.0,17,5,1,1.6954173901524177,1,1.1900383210405103,D
2012-08-18,West Ham,Aston Villa,1.0,0.0,H,2012,6.0,10.0,4.0,8.0,18,1,1,1.8476967068438526,0,0.8591537008801207,H
2012-08-19,Man City,Southampton,3.0,2.0,H,2012,6.0,9.0,15.0,20.0,6,12,1,1.8420309409304056,0,0.7380873375313399,H
2012-08-19,Wigan,Chelsea,0.0,2.0,A,2012,3.0,5.0,4.0,12.0,19,2,0,0.8706721497171619,1,1.9480269149311027,A
2012-08-20,Everton,Man United,1.0,0.0,H,2012,7.0,12.0,7.0,16.0,3,7,1,1.253761873175866,1,1.0413927875007811,D
2012-08-22,Chelsea,Reading,4.0,2.0,H,2012,5.0,7.0,11.0,23.0,2,11,3,3.2374121366616544,0,0.5725718441811943,H
2012-08-25,Aston Villa,Everton,1.0,3.0,A,2012,11.0,19.0,3.0,7.0,1,3,1,1.1989633665049,1,1.1137910282104397,D
2012-08-25,Chelsea,Newcastle,2.0,0.0,H,2012,5.0,11.0,6.0,11.0,2,8,3,3.0251483540967024,0,0.6126489634220108,H
2012-08-25,Man United,Fulham,3.0,2.0,H,2012,11.0,14.0,11.0,20.0,7,4,2,2.054955767775662,1,1.0003692247357119,H
2012-08-25,Norwich,QPR,1.0,1.0,D,2012,4.0,6.0,4.0,13.0,9,10,1,1.8454895124716597,0,0.7138831534890898,H
2012-08-25,Southampton,Wigan,0.0,2.0,A,2012,8.0,12.0,9.0,14.0,12,19,2,2.124604212340582,0,0.95069965840728,H
2012-08-25,Swansea,West Ham,3.0,0.0,H,2012,6.0,7.0,7.0,10.0,15,18,1,1.1820690789646737,0,0.950384617460078,H
2012-08-25,Tottenham,West Brom,1.0,1.0,D,2012,5.0,10.0,10.0,18.0,16,17,1,1.9197136065240858,1,1.427709617111382,D
2012-08-26,Liverpool,Man City,2.0,2.0,D,2012,5.0,11.0,8.0,15.0,5,6,1,1.3265214910937375,0,0.8733268067244703,H
2012-08-26,Stoke,Arsenal,0.0,0.0,D,2012,6.0,16.0,4.0,7.0,13,0,1,1.0654359355718643,1,1.07883552269492,D
2012-09-01,Man City,QPR,3.0,1.0,H,2012,5.0,9.0,12.0,19.0,6,10,1,1.8095240908790646,0,0.4205378109076422,H
2012-09-01,Swansea,Sunderland,2.0,2.0,D,2012,3.0,4.0,10.0,14.0,15,14,1,1.057104555159102,0,0.8579989700316855,H
2012-09-01,Tottenham,Norwich,1.0,1.0,D,2012,4.0,10.0,9.0,15.0,16,9,2,2.356879412267374,1,1.1560104567425205,H
2012-09-01,West Brom,Everton,2.0,0.0,H,2012,5.0,12.0,8.0,14.0,17,3,1,1.6355589963133303,0,0.9310923724507791,H
2012-09-01,West Ham,Fulham,3.0,0.0,H,2012,13.0,14.0,12.0,17.0,18,4,1,1.6292584357367879,1,1.0418587297524902,D
2012-09-01,Wigan,Stoke,2.0,2.0,D,2012,8.0,16.0,5.0,9.0,19,13,1,1.1274212783121529,1,1.0880020608704817,D
2012-09-02,Liverpool,Arsenal,0.0,2.0,A,2012,7.0,11.0,8.0,17.0,5,0,1,1.5741031241725494,1,1.0245690547024011,D
2012-09-02,Newcastle,Aston Villa,1.0,1.0,D,2012,9.0,13.0,6.0,16.0,8,1,1,1.626475306041532,1,1.2850688570284101,D
2012-09-02,Southampton,Man United,2.0,3.0,A,2012,9.0,18.0,8.0,15.0,12,7,1,1.3742040011630612,1,1.477306493256542,D
2012-09-15,Arsenal,Southampton,6.0,1.0,H,2012,4.0,9.0,12.0,20.0,0,12,2,2.1610328291194536,0,0.8758437701317134,H
2012-09-15,Aston Villa,Swansea,2.0,0.0,H,2012,5.0,10.0,13.0,17.0,1,15,1,1.3800767727360779,1,1.0082842912584493,D
2012-09-15,Fulham,West Brom,3.0,0.0,H,2012,8.0,10.0,14.0,23.0,4,17,1,1.7647656769635203,1,1.3586422353842718,D
2012-09-15,Man United,Wigan,4.0,0.0,H,2012,4.0,8.0,10.0,17.0,7,19,2,2.631521059316166,0,0.7106867910936253,H
2012-09-15,Norwich,West Ham,0.0,0.0,D,2012,4.0,9.0,14.0,20.0,9,18,1,1.4626066751139128,1,1.230399512008286,D
2012-09-15,QPR,Chelsea,0.0,0.0,D,2012,9.0,13.0,6.0,10.0,10,2,0,0.62237251455151,1,1.6557725037321283,A
2012-09-15,Stoke,Man City,1.0,1.0,D,2012,11.0,15.0,3.0,4.0,13,6,0,0.8978596409702034,0,0.9195827042519316,D
2012-09-15,Sunderland,Liverpool,1.0,1.0,D,2012,9.0,20.0,4.0,6.0,14,5,1,1.1908974376926893,0,0.968349935945808,H
2012-09-16,Reading,Tottenham,1.0,3.0,A,2012,11.0,22.0,2.0,4.0,11,16,1,1.4085096487189503,1,1.814116094235505,D
2012-09-17,Everton,Newcastle,2.0,2.0,D,2012,7.0,11.0,10.0,17.0,3,8,1,1.9530758269359554,0,0.7268065872071167,H
2012-09-22,Chelsea,Stoke,1.0,0.0,H,2012,6.0,13.0,9.0,17.0,2,13,1,1.9988311414168318,0,0.5593772374365168,H
