Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTAG,PFTHG,MHT,MAT,PFTR
2001-08-18,Charlton,Everton,1.0,2.0,A,2001,9.0,12.0,4.0,8.0,4,7,2,1,1.0659791126444829,2.516691928265621,A
2001-08-18,Derby,Blackburn,2.0,1.0,H,2001,4.0,14.0,3.0,7.0,6,2,0,0,0.8096038848422197,0.743305232667539,D
2001-08-18,Leeds,Southampton,2.0,0.0,H,2001,6.0,11.0,6.0,16.0,10,16,1,1,1.431492085383611,1.5946574439967254,D
2001-08-18,Leicester,Bolton,0.0,5.0,A,2001,8.0,18.0,1.0,6.0,11,3,1,0,0.27231384876012243,1.8005663230988485,A
2001-08-18,Liverpool,West Ham,2.0,1.0,H,2001,3.0,3.0,6.0,9.0,12,19,1,1,1.60326914872658,1.124433292286778,D
2001-08-18,Middlesbrough,Arsenal,0.0,4.0,A,2001,9.0,14.0,2.0,6.0,14,0,2,0,0.5532286570399548,2.3876032618202094,A
2001-08-18,Sunderland,Ipswich,1.0,0.0,H,2001,4.0,10.0,6.0,12.0,17,9,1,1,1.5296504072938713,1.001482565558366,D
2001-08-18,Tottenham,Aston Villa,0.0,0.0,D,2001,2.0,11.0,2.0,8.0,18,1,0,0,0.5041494960848231,0.27921902067459303,D
2001-08-19,Chelsea,Newcastle,1.0,1.0,D,2001,3.0,9.0,8.0,13.0,5,15,0,2,2.0669404433759713,0.7371672929505385,H
2001-08-19,Man United,Fulham,3.0,2.0,H,2001,5.0,8.0,6.0,12.0,13,8,1,1,1.5296504072938713,1.459430837834314,D
2001-08-20,Everton,Tottenham,1.0,1.0,D,2001,2.0,7.0,11.0,18.0,7,18,0,2,2.7869869658276354,0.5373963535654185,H
2001-08-21,Arsenal,Leeds,1.0,2.0,A,2001,2.0,5.0,5.0,14.0,0,10,0,1,1.199656438058917,0.6664850200108319,H
2001-08-21,Bolton,Middlesbrough,1.0,0.0,H,2001,4.0,11.0,3.0,13.0,3,14,0,0,0.6623664019768161,0.9369382323356588,D
2001-08-21,Ipswich,Derby,3.0,1.0,H,2001,2.0,2.0,18.0,30.0,9,6,0,4,4.458915658055645,0.8601180196789516,H
2001-08-22,Blackburn,Man United,2.0,2.0,D,2001,7.0,18.0,5.0,12.0,2,13,1,1,1.2487355990140458,1.4717067172683116,D
2001-08-22,Fulham,Sunderland,2.0,0.0,H,2001,3.0,8.0,5.0,13.0,8,17,0,1,1.224196018536483,0.8017116261732451,H
