Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,PFTR,PHT,PAT,PFTHG,PFTAG
2012-08-18,Arsenal,Sunderland,0.0,0.0,D,2012,H,2.924964438122333,1.0794502179014416,2,1
2012-08-18,Fulham,Norwich,5.0,0.0,H,2012,D,1.8918918918918919,1.0727455581629233,1,1
2012-08-18,Newcastle,Tottenham,2.0,1.0,H,2012,A,1.1948790896159316,2.563414906693485,1,2
2012-08-18,QPR,Swansea,0.0,5.0,A,2012,A,0.5778805120910384,1.1889596602972399,0,1
2012-08-18,Reading,Stoke,1.0,1.0,D,2012,D,0.940611664295875,0.9587663426081127,0,0
2012-08-18,West Brom,Liverpool,3.0,0.0,H,2012,A,1.5362731152204836,2.123142250530786,1,2
2012-08-18,West Ham,Aston Villa,1.0,0.0,H,2012,H,2.4786628733997156,1.1800201139792155,2,1
2012-08-19,Man City,Southampton,3.0,2.0,H,2012,H,2.624466571834993,0.771035869929601,2,0
2012-08-19,Wigan,Chelsea,0.0,2.0,A,2012,A,1.0633001422475108,2.9634596044250756,1,2
2012-08-20,Everton,Man United,1.0,0.0,H,2012,D,1.4082503556187767,1.557715945915745,1,1
2012-08-22,Chelsea,Reading,4.0,2.0,H,2012,H,2.9160739687055477,0.7151637054419486,2,0
2012-08-25,Aston Villa,Everton,1.0,3.0,A,2012,A,0.940611664295875,1.3766901329757513,0,1
2012-08-25,Chelsea,Newcastle,2.0,0.0,H,2012,H,2.697368421052632,0.7509218907140464,2,0
2012-08-25,Man United,Fulham,3.0,2.0,H,2012,H,2.4004267425320056,0.9341825902335457,2,0
2012-08-25,Norwich,QPR,1.0,1.0,D,2012,H,1.422475106685633,0.7598614370320707,1,0
2012-08-25,Southampton,Wigan,0.0,2.0,A,2012,D,1.5718349928876243,1.1263828360710695,1,1
2012-08-25,Swansea,West Ham,3.0,0.0,H,2012,H,1.5433854907539117,0.6391775617387417,1,0
2012-08-25,Tottenham,West Brom,1.0,1.0,D,2012,H,1.6500711237553345,0.8447871270533022,1,0
2012-08-26,Liverpool,Man City,2.0,2.0,D,2012,H,1.114864864864865,0.8939546318024361,1,0
2012-08-26,Stoke,Arsenal,0.0,0.0,D,2012,A,0.5227596017069702,1.2291876187283497,0,1
2012-09-01,Man City,QPR,3.0,1.0,H,2012,H,2.3328591749644385,0.569896077774053,2,0
2012-09-01,Swansea,Sunderland,2.0,2.0,D,2012,D,1.7425320056899003,1.2202480724103253,1,1
2012-09-01,Tottenham,Norwich,1.0,1.0,D,2012,H,1.9594594594594597,0.6436473348977538,1,0
2012-09-01,West Brom,Everton,2.0,0.0,H,2012,D,1.3086770981507825,1.2291876187283497,1,1
2012-09-01,West Ham,Fulham,3.0,0.0,H,2012,D,1.8136557610241824,1.0816851044809477,1,1
2012-09-01,Wigan,Stoke,2.0,2.0,D,2012,D,1.0633001422475108,1.1330874958095876,1,1
2012-09-02,Liverpool,Arsenal,0.0,2.0,A,2012,D,0.8214793741109531,0.8939546318024361,0,0
2012-09-02,Newcastle,Aston Villa,1.0,1.0,D,2012,D,1.7496443812233287,1.662755615152531,1,1
2012-09-02,Southampton,Man United,2.0,3.0,A,2012,A,1.1095305832147937,2.1991283942339925,1,2
2012-09-15,Arsenal,Southampton,6.0,1.0,H,2012,H,3.008534850640114,1.1822550005587218,3,1
2012-09-15,Aston Villa,Swansea,2.0,0.0,H,2012,D,1.0224039829302987,1.1889596602972399,1,1
2012-09-15,Fulham,West Brom,3.0,0.0,H,2012,D,1.5931721194879092,1.4079785450888371,1,1
2012-09-15,Man United,Wigan,4.0,0.0,H,2012,H,2.720483641536273,0.8917197452229301,2,0
2012-09-15,Norwich,West Ham,0.0,0.0,D,2012,H,1.378022759601707,0.4916750474913397,1,0
2012-09-15,QPR,Chelsea,0.0,0.0,D,2012,A,0.5316500711237554,2.1276120236897977,0,2
2012-09-15,Stoke,Man City,1.0,1.0,D,2012,A,0.7094594594594595,1.2291876187283497,0,1
2012-09-15,Sunderland,Liverpool,1.0,1.0,D,2012,A,0.9601706970128022,1.6135881104033971,0,1
2012-09-16,Reading,Tottenham,1.0,3.0,A,2012,A,1.1450924608819346,2.7287965135769365,1,2
2012-09-17,Everton,Newcastle,2.0,2.0,D,2012,H,2.1710526315789473,0.7978545088836744,2,0
2012-09-22,Chelsea,Stoke,1.0,0.0,H,2012,H,1.6767425320056903,0.46485640853726673,1,0
2012-09-22,Southampton,Aston Villa,4.0,1.0,H,2012,D,1.8954480796586064,1.2872946697955079,1,1
2012-09-22,Swansea,Everton,0.0,3.0,A,2012,D,1.1450924608819346,1.2783551234774835,1,1
2012-09-22,West Brom,Reading,1.0,0.0,H,2012,H,2.275960170697013,1.117443289753045,2,1
2012-09-22,West Ham,Sunderland,1.0,1.0,D,2012,H,2.115931721194879,1.0325175997318137,2,1
2012-09-22,Wigan,Fulham,1.0,2.0,A,2012,D,1.3869132290184922,1.9175326852162253,1,1
2012-09-23,Liverpool,Man United,1.0,2.0,A,2012,D,1.4082503556187767,1.466085596155995,1,1
2012-09-23,Man City,Arsenal,1.0,1.0,D,2012,H,1.0206258890469417,0.8380824673147841,1,0
